THUMB_MCP_angle,INDEX_MCP_angle,MIDDLE_MCP_angle,RING_MCP_angle,PINKY_MCP_angle,INDEX_PIP_angle,MIDDLE_PIP_angle,RING_PIP_angle,PINKY_PIP_angle,INDEX_DIP_angle,MIDDLE_DIP_angle,RING_DIP_angle,PINKY_DIP_angle,THUMB_TMC_angle,THUMB_IP_angle,THUMB_INDEX_Abduction_angle,LABEL
158.850393,166.1910679,171.3124233,164.4173096,152.7764356,166.2750595,168.7530709,170.1361922,170.5993351,176.4135576,177.2706643,174.1063379,169.9105303,152.271434,151.2882248,35.14708663,1
149.7101687,160.3494787,168.3614135,164.0031442,154.3086914,166.6778366,166.6698227,170.7405734,173.2892907,177.4034111,178.2963026,177.2879624,174.3964276,133.4184336,154.2007423,38.51933261,1
160.7026075,153.2537745,166.446717,171.8081238,154.8411072,167.8730576,170.4545661,172.9139329,173.699667,174.2539176,176.0429163,175.8391298,175.0608473,153.5675462,116.9824702,41.24540181,1
143.7948103,160.9396972,172.0847041,164.26924,146.9915944,168.1735877,163.5983839,164.3841974,174.7375031,173.761868,177.5953108,175.7043855,173.6487473,126.8764657,166.6832073,37.56719671,1
159.7307443,170.0006642,174.3301818,172.9909972,166.7231596,173.7203936,174.7189975,177.1641144,175.6378325,178.0116181,178.4403421,177.2502159,175.9961596,157.7953804,172.9194117,24.7884347,1
164.7712431,171.9759272,175.9619552,174.0185453,166.6137583,173.9056995,174.2253693,176.3353983,178.1672735,176.5954198,176.7886251,176.9659636,177.6479214,151.7298035,174.6610014,18.98442125,1
160.403609,169.9399328,174.9892338,174.6980524,166.6473676,171.4775127,172.5203455,174.6263667,178.2154098,176.7677451,176.0610804,176.0609979,177.5859455,155.9205464,171.385688,22.86139923,1
135.253589,162.0486999,169.2323444,165.1579838,155.1858862,164.5353159,164.3374702,168.2231651,172.7081252,178.6098173,178.8398982,177.5823268,174.2354596,142.8910685,170.5628442,54.90513939,1
134.5835134,161.8637924,170.1120565,167.1437284,155.6104253,165.535589,165.2736288,167.1257865,174.8222894,175.3056541,174.9857178,175.7609598,175.2434281,140.8332607,160.8265355,52.85207583,1
144.6122015,159.623303,169.2041588,163.6171734,146.2186149,163.0062628,161.3722537,161.0108663,167.6462225,178.2334605,179.1200598,177.1695198,172.5197917,146.3530986,125.4507367,54.58368136,1
143.0130822,158.161197,168.3672544,165.6494731,150.7945228,163.9258994,163.8243938,164.1803539,168.6528452,177.888942,179.7363508,177.4916718,172.9959936,150.6215804,116.4435564,57.44931784,1
144.8458118,159.2010713,173.6515713,167.4940615,149.9191276,173.4638915,173.2500823,171.6037128,173.3022091,174.1719699,177.126799,174.0481104,171.3727802,149.7968472,143.8017622,53.77484823,1
149.5476785,159.4589302,169.8713004,173.0483283,159.0824916,168.2115525,166.5548762,168.9603128,175.8552478,173.528103,173.3253953,174.3686906,172.8722756,140.1661491,165.7275373,42.1808427,1
179.76502,162.9186578,164.6883577,158.7614826,150.168781,165.7129754,165.7734378,173.6764464,167.7155139,174.5163641,176.2613192,174.1395841,171.4394243,145.676229,159.2590435,29.2803356,1
146.5909017,158.019077,168.400285,163.110829,148.404402,162.7361885,163.0658137,166.7475369,172.1403563,175.5216992,179.4609113,177.9751845,173.2554821,141.4079855,162.4759603,46.82991646,1
146.8905159,161.7759297,170.3321025,165.13535,149.5982163,168.7926923,169.2298643,168.6302906,171.2472679,175.522209,177.4710353,175.2305092,172.8791176,144.4076512,133.0269559,49.56396999,1
155.2316373,164.807205,169.6410389,155.6556577,143.112813,167.4092756,160.420968,160.5608966,165.3744044,175.9333743,170.4471674,170.7761473,170.9732412,132.55158,172.8314158,36.08640215,1
163.6863959,156.8745833,168.7311144,167.597581,155.2717039,170.3714222,173.1890289,178.2793163,169.5621875,172.9203444,175.9413718,176.7370953,174.7907537,147.9858569,168.7558016,35.70858086,1
159.4572283,154.5653161,168.6365102,172.7636489,160.2700712,166.3438676,160.9409675,161.1678327,171.264587,172.9819005,173.9216044,176.4830093,177.6674682,117.5240047,165.5472504,31.12619684,1
164.8773103,157.9230829,168.8250136,166.7149199,154.6949277,171.2594233,173.1708613,177.966402,169.930026,170.8367598,174.9079426,175.4292281,173.7872143,147.3993424,158.7982634,41.73811679,1
160.9372133,156.7457345,166.5167097,168.5124016,160.4951049,168.0650322,166.6891056,170.461012,179.8284036,173.3015729,173.2003412,174.4502268,176.5040195,125.9226686,169.3594266,22.78024499,1
162.5102884,155.7722147,167.3825978,167.9066223,151.4832036,164.8761594,167.4741915,171.7061702,170.3304957,172.5038196,174.5251267,176.1820388,174.244706,155.5597495,141.4062663,40.86889806,1
160.6099115,148.0631905,150.2564084,154.0812151,145.7579676,138.0248835,135.1614197,132.2490303,137.7001134,157.8052452,158.2470252,160.4764714,159.7726788,146.9090443,169.8173664,75.27540742,2
155.5296311,157.8565139,164.7111795,176.217555,163.1183491,140.6297326,124.9387543,124.891984,143.9063312,153.8140263,156.8509712,160.8779328,166.9230465,155.1755759,162.1648336,65.69375095,2
167.9254211,155.5107056,178.6820013,165.7227367,157.0472286,124.118232,127.9635157,135.7199335,152.3379953,154.3012683,151.2965459,152.9385028,160.182954,150.7744992,168.7299596,73.08168164,2
165.7172512,155.1258011,174.7592484,165.7974581,155.5854404,131.9938443,129.267753,138.6207604,146.7346329,160.6855192,155.1854086,155.8705353,159.6726265,149.1765613,164.5869592,70.00932537,2
160.2025301,154.1786411,164.6256743,176.0534006,168.4468794,133.2345973,128.8595576,126.4561004,146.5349482,161.5330559,165.7618138,166.6802571,169.165475,156.309822,165.8658061,60.24377796,2
162.9456439,142.5423523,155.0893189,166.2773594,167.9350971,126.830149,108.9297987,106.8769213,131.3212546,156.706896,152.8123476,155.5856992,157.9841732,159.3668157,158.1359964,63.96269917,2
165.4949421,150.0644403,148.9573895,150.5416496,148.2899932,145.3589285,150.0366309,149.0847635,150.2567029,158.2068714,158.5075137,163.1048023,168.1649148,151.6324411,170.221256,77.40818378,2
158.7353741,147.5986755,156.4558889,169.3528215,156.3382161,157.5886405,140.142006,142.6475206,156.8403457,166.3417898,166.239093,163.4755348,172.3531857,146.3252,174.4855414,39.74828562,2
159.7424793,154.1465924,166.1804456,169.7758566,156.8840053,129.2356746,125.317912,129.0569933,147.8473178,155.8727025,151.339405,157.0529936,159.0895903,150.834802,162.5513937,79.24601891,2
163.846344,145.1243502,161.2802965,169.4376107,153.1519621,142.1056606,132.9275885,138.2493233,152.9941231,166.4557013,167.0257236,160.463457,166.6820748,155.4663431,173.6526841,65.20215726,2
168.2239219,153.5274643,138.8552082,133.7600346,121.5860786,129.2257921,65.41891424,59.62664138,71.83382431,164.8691002,128.6977282,123.8787574,124.6890492,167.1366406,165.1943877,53.22243201,2
163.9069466,155.3809919,165.8461235,165.4412548,157.4902854,121.1998823,120.0258891,125.0919778,139.4665517,162.3873856,158.7409937,161.7504915,162.6567096,149.0832892,175.7353481,74.27814781,2
158.6150697,160.4524746,164.5248122,167.6807234,159.595793,116.7418693,98.37416016,96.33839526,113.2577357,138.568465,146.4153334,154.46288,160.9238492,140.1910558,175.9080356,60.91115369,2
153.056272,138.4420231,154.1898707,158.0011052,155.8791778,143.0362857,127.0326199,126.6711966,137.3026289,165.3027852,168.8474506,162.7153305,164.5182587,142.2797259,169.3596189,65.45993138,2
158.8209043,151.2116647,163.1514805,163.9532914,150.8017557,126.8984494,120.1046482,125.3370057,140.1872578,155.3441631,158.0277102,163.7965148,162.1676478,155.452255,161.0223397,81.32158655,2
157.2495754,154.5267244,167.2814246,166.6651558,152.2190631,153.1233552,148.0660943,146.620073,157.4574551,168.3790908,165.3194154,169.2109847,169.8597173,151.12193,174.7995517,71.76751939,2
159.2309277,136.341545,156.8732768,163.5963247,148.3061953,131.0883636,120.4508124,123.2038738,133.4998642,155.9391885,154.2916031,157.064185,160.6717103,158.5353084,167.0113512,86.40930096,2
156.9509643,133.6894468,145.7377359,147.9038748,137.3861907,143.9994729,133.9047715,136.0163373,143.8835334,163.3190727,157.162538,162.6941864,164.6595925,158.6244058,163.8122275,78.76088523,2
159.7068324,158.936839,166.9549913,170.4126328,161.1548066,137.4874289,138.0974873,136.2490196,150.2059782,158.2277924,158.355034,164.3667128,165.3394371,150.5425822,173.2529884,69.25889996,2
163.7865129,154.5667913,169.6997938,174.6988683,162.8500353,153.4342347,145.9935667,150.4729084,163.19765,164.6026363,159.1624319,161.3643987,168.9918005,153.9653405,169.7586449,62.02092723,2
157.5974754,154.7083129,159.0682954,164.3165852,147.4972621,114.6146362,104.4400216,95.05147344,121.2956564,155.9432335,157.6247124,160.8122929,161.6511927,147.6074794,171.0547842,77.27275779,2
125.8558877,134.6726417,127.1982121,122.4647963,114.7929688,143.2852735,71.50430944,58.37619611,66.51246159,128.9050357,144.8325242,145.0096953,145.1740582,153.8135647,129.654247,46.92682988,3
156.9182934,134.6147792,92.12223602,90.0000982,93.90205763,124.3222682,106.1995661,89.35299023,93.33507842,154.534519,116.572712,122.0375012,119.4258215,150.7093063,157.0640323,52.43302023,3
159.6901253,136.6121311,95.70692615,88.34249573,89.70689337,107.9062316,105.5161629,84.17324268,89.56998301,154.7570383,123.3421918,131.1554684,125.560646,155.3065131,151.4813492,51.95600862,3
156.9770727,161.4623506,99.80713564,98.71771808,91.9201827,131.3235586,89.53675665,82.10732769,97.2406273,163.7032096,93.89616815,100.2723377,100.8618278,134.579285,116.1831589,80.89483838,3
156.5732186,170.5513711,102.0181274,99.86599404,92.68210259,111.8492056,105.3499366,100.243782,118.6754489,150.8442959,95.00424466,95.26652653,87.48567085,135.2280803,111.3978918,79.69789732,3
155.6027176,170.661297,101.4300143,99.08036095,89.97085789,111.5791539,102.1616441,93.37934786,113.8164793,153.3355624,92.74063194,96.99361017,92.16502946,133.024747,113.0027208,78.98414799,3
159.1628171,162.1620267,97.16404071,92.81627086,88.10461035,109.7806432,99.12486752,92.18519626,106.6800974,150.0652172,93.33715242,87.97169866,84.29902324,130.5143105,129.4932733,79.65003495,3
160.7460034,149.2738675,91.35174989,85.98825547,88.92811636,110.8051172,102.3869502,83.96597788,93.49130753,157.128048,120.9789241,133.6729874,125.0620183,148.3812814,152.5234971,53.58113076,3
123.1422203,148.227983,137.2136736,139.2182269,154.4530704,161.7776642,52.17106064,34.89965662,26.5314419,154.6465764,155.1346704,156.7182467,163.7362014,155.7102665,150.5028409,41.50259319,3
156.7584222,146.1340498,88.70182579,76.03732942,73.67268423,113.0494795,106.4685941,97.47440439,106.8293135,148.8981661,116.7403562,118.4578311,119.2379541,150.3769725,146.0275193,48.22202988,3
144.7305333,161.1346541,90.94355074,94.68186525,110.6834352,95.51139909,107.7792013,95.39543576,93.21433652,145.5355172,109.2547837,115.5856266,132.2010078,142.5399045,155.8455863,31.99641844,3
126.8128206,136.3465502,128.4086454,121.832674,110.8397332,148.1343351,68.03300813,56.53760541,68.74173619,123.0309016,150.9022945,149.6447711,150.2156391,154.3004032,131.805844,45.23434153,3
